Timestamp;Parameter;Value;Goup_ID;X;Y;Z
NA;rain intensity;0.56755474419333;;600;299;
NA;rain intensity;0.521761601557955;;600;298;
NA;rain intensity;0.954419046174735;;600;297;
NA;rain intensity;0.740901687182486;;600;296;
NA;rain intensity;0.364979026373476;;600;295;
NA;rain intensity;0.301712549990043;;600;294;
NA;rain intensity;0.195275652222335;;600;293;
NA;rain intensity;0.518673223443329;;600;292;
NA;rain intensity;0.465605321340263;;600;291;
NA;rain intensity;0.712368376553059;;600;290;
NA;rain intensity;0.677101971115917;;600;289;
NA;rain intensity;0.366580048808828;;600;288;
NA;rain intensity;0.400806109188125;;600;287;
NA;rain intensity;0.629538576584309;;600;286;
NA;rain intensity;0.892205310286954;;600;285;
NA;rain intensity;0.764259693678468;;600;284;
NA;rain intensity;0.605719213141128;;600;283;
NA;rain intensity;0.85532818804495;;600;282;
NA;rain intensity;0.503775781020522;;600;281;
NA;rain intensity;0.391452928772196;;600;280;
NA;rain intensity;0.380012933863327;;600;279;
NA;rain intensity;0.0951061232481152;;600;278;
NA;rain intensity;0.500926879234612;;600;277;
NA;rain intensity;0.334378414321691;;600;276;
NA;rain intensity;0.797980505973101;;600;275;
NA;rain intensity;0.313998779281974;;600;274;
NA;rain intensity;0.70843050791882;;600;273;
NA;rain intensity;0.287948560668156;;600;272;
NA;rain intensity;0.222361764404923;;600;271;
NA;rain intensity;0.839728490449488;;600;270;
NA;rain intensity;0.158770884387195;;600;269;
NA;rain intensity;0.945734282257035;;600;268;
NA;rain intensity;0.922252458520234;;600;267;
NA;rain intensity;0.0512540324125439;;600;266;
NA;rain intensity;0.583239828934893;;600;265;
NA;rain intensity;0.719174780184403;;600;264;
NA;rain intensity;0.665225656004623;;600;263;
NA;rain intensity;0.813209599582478;;600;262;
NA;rain intensity;0.321532886242494;;600;261;
NA;rain intensity;0.30688749672845;;600;260;
NA;rain intensity;0.725713983410969;;600;259;
NA;rain intensity;0.894315653014928;;600;258;
NA;rain intensity;0.161322637926787;;600;257;
NA;rain intensity;0.363688222831115;;600;256;
NA;rain intensity;0.632797293132171;;600;255;
NA;rain intensity;0.414984830887988;;600;254;
NA;rain intensity;0.828130836365744;;600;253;
NA;rain intensity;0.0532198443543166;;600;252;
NA;rain intensity;0.703150457469746;;600;251;
NA;rain intensity;0.438344776863232;;600;250;
NA;rain intensity;0.026630372274667;;601;299;
NA;rain intensity;0.595406781183556;;601;298;
NA;rain intensity;0.319478726014495;;601;297;
NA;rain intensity;0.00745882675983012;;601;296;
NA;rain intensity;0.35355718433857;;601;295;
NA;rain intensity;0.661422631237656;;601;294;
NA;rain intensity;0.774912698892877;;601;293;
NA;rain intensity;0.993834847118706;;601;292;
NA;rain intensity;0.431969236582518;;601;291;
NA;rain intensity;0.75459578121081;;601;290;
NA;rain intensity;0.888835662743077;;601;289;
NA;rain intensity;0.557475219015032;;601;288;
NA;rain intensity;0.751579828327522;;601;287;
NA;rain intensity;0.296159452293068;;601;286;
NA;rain intensity;0.120449002832174;;601;285;
NA;rain intensity;0.701638982398435;;601;284;
NA;rain intensity;0.682000630535185;;601;283;
NA;rain intensity;0.688169334083796;;601;282;
NA;rain intensity;0.884277812438086;;601;281;
NA;rain intensity;0.459453488467261;;601;280;
NA;rain intensity;0.0309444586746395;;601;279;
NA;rain intensity;0.413273363141343;;601;278;
NA;rain intensity;0.164818685734645;;601;277;
NA;rain intensity;0.235249743331224;;601;276;
NA;rain intensity;0.443412933964282;;601;275;
NA;rain intensity;0.204620627453551;;601;274;
NA;rain intensity;0.114458619384095;;601;273;
NA;rain intensity;0.653632194036618;;601;272;
NA;rain intensity;0.110175477340817;;601;271;
NA;rain intensity;0.260881356662139;;601;270;
NA;rain intensity;0.481696484377608;;601;269;
NA;rain intensity;0.494192068232223;;601;268;
NA;rain intensity;0.680790038313717;;601;267;
NA;rain intensity;0.305303296307102;;601;266;
NA;rain intensity;0.322597009129822;;601;265;
NA;rain intensity;0.143942795461044;;601;264;
NA;rain intensity;0.735826924210414;;601;263;
NA;rain intensity;0.562942067626864;;601;262;
NA;rain intensity;0.220897073391825;;601;261;
NA;rain intensity;0.947978234384209;;601;260;
NA;rain intensity;0.572032653493807;;601;259;
NA;rain intensity;0.353738789213821;;601;258;
NA;rain intensity;0.819617190398276;;601;257;
NA;rain intensity;0.415584983536974;;601;256;
NA;rain intensity;0.149851950118318;;601;255;
NA;rain intensity;0.226442615501583;;601;254;
NA;rain intensity;0.996482939925045;;601;253;
NA;rain intensity;0.855537296971306;;601;252;
NA;rain intensity;0.0508292433805764;;601;251;
NA;rain intensity;0.200569822685793;;601;250;
NA;rain intensity;0.661051417933777;;602;299;
NA;rain intensity;0.539812691975385;;602;298;
NA;rain intensity;0.226031572092324;;602;297;
NA;rain intensity;0.0420924194622785;;602;296;
NA;rain intensity;0.890711422776803;;602;295;
NA;rain intensity;0.548934271093458;;602;294;
NA;rain intensity;0.961362592410296;;602;293;
NA;rain intensity;0.444351146463305;;602;292;
NA;rain intensity;0.286200775532052;;602;291;
NA;rain intensity;0.0808764833491296;;602;290;
NA;rain intensity;0.255311655811965;;602;289;
NA;rain intensity;0.23559167352505;;602;288;
NA;rain intensity;0.92852034792304;;602;287;
NA;rain intensity;0.0596948582679033;;602;286;
NA;rain intensity;0.353820213815197;;602;285;
NA;rain intensity;0.961010691244155;;602;284;
NA;rain intensity;0.219611979555339;;602;283;
NA;rain intensity;0.219163263449445;;602;282;
NA;rain intensity;0.360434689326212;;602;281;
NA;rain intensity;0.12498335307464;;602;280;
NA;rain intensity;0.205571664730087;;602;279;
NA;rain intensity;0.0301474840380251;;602;278;
NA;rain intensity;0.245751689886674;;602;277;
NA;rain intensity;0.212460327893496;;602;276;
NA;rain intensity;0.092893925961107;;602;275;
NA;rain intensity;0.900492692599073;;602;274;
NA;rain intensity;0.411954015493393;;602;273;
NA;rain intensity;0.565889470744878;;602;272;
NA;rain intensity;0.772062842035666;;602;271;
NA;rain intensity;0.745763594983146;;602;270;
NA;rain intensity;0.148482156684622;;602;269;
NA;rain intensity;0.783667428884655;;602;268;
NA;rain intensity;0.0764622983988374;;602;267;
NA;rain intensity;0.659579369006678;;602;266;
NA;rain intensity;0.412257459713146;;602;265;
NA;rain intensity;0.747031774139032;;602;264;
NA;rain intensity;0.150176917668432;;602;263;
NA;rain intensity;0.151813557138667;;602;262;
NA;rain intensity;0.944211818277836;;602;261;
NA;rain intensity;0.373287995811552;;602;260;
NA;rain intensity;0.814697131514549;;602;259;
NA;rain intensity;0.457496007438749;;602;258;
NA;rain intensity;0.265342840226367;;602;257;
NA;rain intensity;0.484010124579072;;602;256;
NA;rain intensity;0.30294879549183;;602;255;
NA;rain intensity;0.924236316466704;;602;254;
NA;rain intensity;0.826981116551906;;602;253;
NA;rain intensity;0.385039741173387;;602;252;
NA;rain intensity;0.949660471407697;;602;251;
NA;rain intensity;0.363824285333976;;602;250;
NA;rain intensity;0.492575770709664;;603;299;
NA;rain intensity;0.856274602701887;;603;298;
NA;rain intensity;0.37996694073081;;603;297;
NA;rain intensity;0.343861411325634;;603;296;
NA;rain intensity;0.312496115686372;;603;295;
NA;rain intensity;0.301372029120103;;603;294;
NA;rain intensity;0.0779101462103426;;603;293;
NA;rain intensity;0.536726514343172;;603;292;
NA;rain intensity;0.467244824394584;;603;291;
NA;rain intensity;0.686387453461066;;603;290;
NA;rain intensity;0.269198868656531;;603;289;
NA;rain intensity;0.768653656123206;;603;288;
